ques_naire;user_id;propertyid;createtime;min-erittain-korkea-asuinalue-sopii-helsinkiin;kuinka-todennakoisesti-asut-alueella-viela-5-vuoden-kuluttua;min-mieluiten-ulkoilen-laajassa-metsassa-vaikka-se-olisi-vahan-kauempana-kotoa;tarkein;min-kiinnostavin-uusi-kulttuuri-syntyy-kohtaamisista-kaupungissa;min-haluan-tehda-paivittaiset-ostokseni-vahan-kerrallaan-lahella-kotia;min-jos-raideliikenteen-yhteyksia-parannetaan-kayttaisin-raideliikennetta-nykyista-enemman-seka-tyomatkoihini-etta-vapaa-ajalla;toiseksi-tarkein;jos-asut-muualla-kuin-helsingissa-missa-asu;min-esikaupungeissa-tehokkain-rakentaminen-kannattaisi-keskittaa-asemien-laheisyyteen;min-suurkaupunki-ja-sen-monet-mahdollisuudet-ovat-kiehtovia;kolmenneksi-tarkein;ika;missa-kaupunginosassa-asut;user-language;min-helsingin-keskustaan-johtavien-isojen-teiden-muuttaminen-puistokaduiksi-on-hyva-idea;min-koska-helsinki-kasvaa-pitaa-sita-tiiviistaa;elamantilanne-asumismuoto;min-autoilun-tarpeen-vahentamiseksi-olen-valmis-hyvaksymaan-tiiviimpaa-rakentamista-asuinalueellani;min-asuinalueeltani-loytyy-viela-paikkoja-joita-voisi-kayttaa-rakentamiseen
"mita-ajattelet-tulevaisuuden-k";"2";"38941";"2013-12-28T09:56"; ; ;"81,11"; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"138";"195";"2013-11-04T07:14"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"141";"196";"2013-11-04T07:49";"21,03";"erittain-todennakoisesti";"83,33";"kavely";"11,9";"25";"9,52";"joukkoliikenne"; ;"9,13";"9,13";"polkupyora";"30-39";"Hermanni";"en";"9,13";"16,67";"pariskunta";"12,3";"14,68"
"mita-ajattelet-tulevaisuuden-k";"142";"197";"2013-11-04T07:50";"0";"erittain-todennakoisesti";"66,27";"henkiloauto";"0";"75,4";"71,83";"joukkoliikenne"; ;"68,25";"0";"polkupyora";"30-39";"Vuosaari";"fi";"24,21";"0";"lapsiperhe";"12,3";"0"
"mita-ajattelet-tulevaisuuden-k";"143";"198";"2013-11-04T07:52"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"144";"199";"2013-11-04T07:53"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"en"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"145";"200";"2013-11-04T07:54";"25,16";"erittain-todennakoisesti";"32,3";"kavely";"18,02";"0";"56,11";"joukkoliikenne"; ;"52,94";"11,67";"polkupyora";"30-39";"Punavuori";"en";"19,7";"26,75";"yksin-asuva";"10,08";"65,64"
"mita-ajattelet-tulevaisuuden-k";"147";"211";"2013-11-04T07:58"; ; ;"51,79"; ; ;"47,82"; ; ; ; ; ; ; ; ;"fi"; ;"47,42"; ; ; 
"mita-ajattelet-tulevaisuuden-k";"148";"218";"2013-11-04T08:01";"50,2";"melko-todennakoisesti"; ;"joukkoliikenne"; ;"14,05";"1,35";"kavely"; ;"23,18";"0";"polkupyora";"40-49";"Hermanni";"fi";"23,18";"29,53";"yksin-asuva";"50,16";"37,86"
"mita-ajattelet-tulevaisuuden-k";"149";"219";"2013-11-04T08:01"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"en"; ; ; ; ; 
